Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","008","Albania","5510","Production","01659","Hop cones","2020","2020","t","1845.72","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01659","Hop cones","2021","2021","t","1839.19","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01659","Hop cones","2022","2022","t","1853.47","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01659","Hop cones","2023","2023","t","1869.35","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01659","Hop cones","2024","2024","t","1854","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","01659","Hop cones","2020","2020","t","482.9","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","01659","Hop cones","2021","2021","t","489.19","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","01659","Hop cones","2022","2022","t","490.99","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","01659","Hop cones","2023","2023","t","494.07","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","01659","Hop cones","2024","2024","t","497.14","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01659","Hop cones","2020","2020","t","613.25","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01659","Hop cones","2021","2021","t","623.2","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01659","Hop cones","2022","2022","t","621.73","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01659","Hop cones","2023","2023","t","619.39","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","01659","Hop cones","2024","2024","t","621.44","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","01659","Hop cones","2020","2020","t","500","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","01659","Hop cones","2021","2021","t","380","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","01659","Hop cones","2022","2022","t","450","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","01659","Hop cones","2023","2023","t","380","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","01659","Hop cones","2024","2024","t","320","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","01659","Hop cones","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","01659","Hop cones","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01659","Hop cones","2020","2020","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01659","Hop cones","2021","2021","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01659","Hop cones","2022","2022","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01659","Hop cones","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01659","Hop cones","2024","2024","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","159","China","5510","Production","01659","Hop cones","2020","2020","t","8018.36","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","01659","Hop cones","2021","2021","t","7957.2","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","01659","Hop cones","2022","2022","t","7927.19","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","01659","Hop cones","2023","2023","t","7967.58","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","01659","Hop cones","2024","2024","t","7950.66","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","01659","Hop cones","2020","2020","t","8018.36","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","01659","Hop cones","2021","2021","t","7957.2","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","01659","Hop cones","2022","2022","t","7927.19","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","01659","Hop cones","2023","2023","t","7967.58","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","01659","Hop cones","2024","2024","t","7950.66","E","Estimated value",""
"QCL","Crops and livestock products","191","Croatia","5510","Production","01659","Hop cones","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5510","Production","01659","Hop cones","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5510","Production","01659","Hop cones","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5510","Production","01659","Hop cones","2023","2023","t","0","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5510","Production","01659","Hop cones","2024","2024","t","0","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5510","Production","01659","Hop cones","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5510","Production","01659","Hop cones","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5510","Production","01659","Hop cones","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","01659","Hop cones","2020","2020","t","5930","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","01659","Hop cones","2021","2021","t","8310","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","01659","Hop cones","2022","2022","t","4450","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","01659","Hop cones","2023","2023","t","7000","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","01659","Hop cones","2024","2024","t","6490","A","Official figure",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01659","Hop cones","2020","2020","t","2015.78","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01659","Hop cones","2021","2021","t","2019.78","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01659","Hop cones","2022","2022","t","2023.66","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01659","Hop cones","2023","2023","t","2022.93","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01659","Hop cones","2024","2024","t","2022.19","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","208","Denmark","5510","Production","01659","Hop cones","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5510","Production","01659","Hop cones","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5510","Production","01659","Hop cones","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5510","Production","01659","Hop cones","2023","2023","t","0","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5510","Production","01659","Hop cones","2024","2024","t","0","A","Official figure",""
